filename,record number 1,record number 2,alcohol,category,country,description,designation,price,rating,cost per point,region,region coordinates ,region latitude,region longitude,subregion,subregion coordinates ,subregion latitude,subregion longitude,title,url,varietal,vintage,winery
winemag 11201 to 12000,15136,46085,12.5,White,France,"Candied and floral, with strong aromas of pear nectar and a dull, disjointed finish.",,13,82,0.16,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Lamblin & Fils 2001  Chablis,https://www.winemag.com/buying-guide/lamblin-fils-2001-chardonnay-chablis/,Chardonnay,2001,Lamblin & Fils
winemag 8001 to 8800,5404,191809,13,White,France,"Thin and dilute, with soft fruit and a light white fruit character. Screwcap.",,13,82,0.16,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Mâcon-Villages,"46.3068839, 4.8287310",46.3068839,4.828731,Cave de Lugny 2008  Mâcon-Villages,https://www.winemag.com/buying-guide/cave-lugny-2008-chardonnay-macon-villages/,Chardonnay,2008,Cave de Lugny
winemag 7201 to 8000,12907,183678,13,White,France,"A soft, open wine that tastes dilute but at least finishes cleanly. There are many better, more characterful, basic white Burgundies on the market.",,14,82,0.17,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Bourgogne,"47.0525047, 4.3837215",47.0525047,4.3837215,Michel Picard 2007  Bourgogne,https://www.winemag.com/buying-guide/michel-picard-2007-chardonnay-bourgogne/,Chardonnay,2007,Michel Picard
winemag 12001 to 12800,8183,54874,13,White,France,,,15,82,0.18,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Mâcon-Lugny,"46.4716720, 4.8098200",46.471672,4.80982,Régnard 1999  Mâcon-Lugny,https://www.winemag.com/buying-guide/regnard-1999-chardonnay-macon-lugny/,Chardonnay,1999,Régnard
winemag 3201 to 4000,12869,105749,13,White,France,"This earthy Chardonnay from a limestone plot has more to do with texture and tight acidity than fruit. It presents a sharp, too-crisp edge.",La Réserve d'Amélie,18,82,0.22,Beaujolais,"46.5827512, 4.4866710",46.5827512,4.486671,Beaujolais-Villages,"46.5827512, 4.4866710",46.5827512,4.486671,Gérard Charvet 2014 La Réserve d'Amélie  (Beaujolais-Villages),https://www.winemag.com/buying-guide/gerard-charvet-2014-reserve-damelie-chardonnay-villages/,Chardonnay,2014,Gérard Charvet
winemag 10401 to 11200,15457,30719,13,White,France,,,19,82,0.23,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Marsannay,"47.2703020, 4.9886670",47.270302,4.988667,Château de Marsannay 2002  Marsannay,https://www.winemag.com/buying-guide/chateau-marsannay-2002-chardonnay-marsannay/,Chardonnay,2002,Château de Marsannay
winemag 2401 to 3200,5487,82907,14,White,France,"The wine is too rich, losing sight of the fruit. It is so soft, lightly spicy and feels heavy.",Collection,20,82,0.24,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Mâcon-Villages,"46.3068839, 4.8287310",46.3068839,4.828731,L. Tramier & Fils 2015 Collection  (Mâcon-Villages),https://www.winemag.com/buying-guide/l-tramier-fils-2015-collection-macon-villages/,Chardonnay,2015,L. Tramier & Fils
winemag 10401 to 11200,2464,17726,,White,France,"A disappointingly thin wine, very light. It's fresh enough, and there is a pleasing touch of citrus, but its aftertaste is somewhat dilute.",Domaine Greffes,22,82,0.27,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Pouilly-Fuissé,"46.3068839, 4.8287310",46.3068839,4.828731,Moillard 2005 Domaine Greffes  (Pouilly-Fuissé),https://www.winemag.com/buying-guide/moillard-2005-domaine-greffes-chardonnay-pouilly-fuisse/,Chardonnay,2005,Moillard
winemag 1601 to 2400,2314,64264,13.5,White,France,Lemon-jelly aromas give this a strange character. The fruit reflects the same artificial flavor. It is hard to see where it is going.,Vieilles Vignes,22,82,0.27,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Saint-Véran,"46.3068839, 4.8287310",46.3068839,4.828731,Pierre Chardigny 2015 Vieilles Vignes  (Saint-Véran),https://www.winemag.com/buying-guide/pierre-chardigny-2015-vieilles-vignes-saint-veran/,Chardonnay,2015,Pierre Chardigny
winemag 8801 to 9600,5178,222159,13,White,France,"Part of the range of negociant wines under the worldwide Xavier Flouret range, this Chablis is earthy, rustic, a soft but underwhelming wine, missing the proper bite of the region's wines. Imported by Cognac One, LLC.",Marly,23,82,0.28,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Xavier Flouret 2006 Marly  (Chablis),https://www.winemag.com/buying-guide/xavier-flouret-2006-marly-chardonnay-chablis/,Chardonnay,2006,Xavier Flouret
winemag 2401 to 3200,11006,88426,13,White,France,"A candy-flavored wine, this is soft and missing acidity. Some spiced apple flavors are masked by the sherbet flavor.",,24,82,0.29,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Pouilly-Fuissé,"46.3068839, 4.8287310",46.3068839,4.828731,Manciat-Poncet 2014  Pouilly-Fuissé,https://www.winemag.com/buying-guide/manciat-poncet-2014-pouilly-fuisse/,Chardonnay,2014,Manciat-Poncet
winemag 10401 to 11200,15435,30697,13,White,France,,Vaillon Premier Cru,28,82,0.34,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,La Chablisienne 2003 Vaillon Premier Cru  (Chablis),https://www.winemag.com/buying-guide/chablisienne-2003-vaillon-premier-cru-chardonnay-chablis/,Chardonnay,2003,La Chablisienne
winemag 6401 to 7200,4801,159938,12.5,White,France,This is a yeasty wine that shows a bitter almond character. It has an unattractive hard edge.,,28,82,0.34,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Domaine Faiveley 2010  Chablis,https://www.winemag.com/buying-guide/domaine-faiveley-2010-chardonnay-chablis/,Chardonnay,2010,Domaine Faiveley
winemag 8001 to 8800,5397,191802,,White,France,"Somewhat rustic, hard edged, not much pleasure here.",,29,82,0.35,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Pouilly-Fuissé,"46.3068839, 4.8287310",46.3068839,4.828731,Louis Latour 2008  Pouilly-Fuissé,https://www.winemag.com/buying-guide/louis-latour-2008-chardonnay-pouilly-fuisse/,Chardonnay,2008,Louis Latour
winemag 10401 to 11200,14372,29634,13,White,France,"Nutty and toasty, but even those notes are muted and modest. Not much going on here--a real disappointment from a big name in Burgundy. RETASTE",,44,82,0.54,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Meursault,"46.9782250, 4.7687460",46.978225,4.768746,Dujac Fils & Pere 2001  Meursault,https://www.winemag.com/buying-guide/dujac-fils-pere-2001-chardonnay-meursault/,Chardonnay,2001,Dujac Fils & Pere
winemag 8001 to 8800,5438,191843,,White,France,"Soft and without much texture, way too open. Wood, spice and little fruit.",Les Perriéres Tête de Cru,50,82,0.61,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Pouilly-Fuissé,"46.3068839, 4.8287310",46.3068839,4.828731,Domaine Ferret 2008 Les Perriéres Tête de Cru  (Pouilly-Fuissé),https://www.winemag.com/buying-guide/domaine-ferret-2008-perrieres-tete-cru-chardonnay-pouilly-fuisse/,Chardonnay,2008,Domaine Ferret
winemag 3201 to 4000,791,93671,12.5,White,France,"This wine is light, fresh and fruity, just hinting at yellow fruits and with a sweet aftertaste. Drink immediately.",,5,83,0.06,France,null,null,null,Vin de France,null,null,null,Belle Made For You NV Chardonnay (Vin de France),https://www.winemag.com/buying-guide/belle-made-for-you-nv-chardonnay-vin-de-france/,Chardonnay,NV,Belle Made For You
winemag 11201 to 12000,9314,40263,,White,France,"Rather dull by New World standards, with earth and peach flavors and lots of oak. Feels heavy and soft in the mouth.",,6,83,0.07,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,Barton & Guestier 2002 Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/barton-guestier-2002-chardonnay-vin-de-pays-doc-34987/,Chardonnay,2002,Barton & Guestier
winemag 11201 to 12000,15148,46097,12,White,France,Has some attractive fruit cocktail and floral aromas and flavors that turn tart and tangy on the finish. But there's also a hint of Play-doh that detracts from the overall impression.,Bourgonge Blanc,7,83,0.08,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Bourgogne,"47.0525047, 4.3837215",47.0525047,4.3837215,Lamblin & Fils 2001 Bourgonge Blanc  (Bourgogne),https://www.winemag.com/buying-guide/lamblin-fils-2001-bourgonge-blanc-chardonnay-bourgogne/,Chardonnay,2001,Lamblin & Fils
winemag 12001 to 12800,8191,54882,13,White,France,"Light, sunny, golden raisin and talcum powder aromas open onto preface a palate rife with oak and citrus flavors, and a minerally mouthfeel. Finishes with almond and chalk. Would have been better without the slight but persistent twinge of greenness that begins in the mouth and lasts through the finish.",,7,83,0.08,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,La Baume 1999 Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/baume-1999-chardonnay-vin-pays-doc/,Chardonnay,1999,La Baume
winemag 12001 to 12800,8203,54894,12.5,White,France,"Starts off with apple, talc and toasty aromas, but quickly takes on aromas of ripe bananas. Banana flavors also dominate the palate; a slight minerally overlay keeps the Chard from being too tropical. Finishes medium-long, with toast and apple notes.",,7,83,0.08,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,Maison Nicolas 2000 Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/maison-nicolas-2000-chardonnay-vin-pays-doc/,Chardonnay,2000,Maison Nicolas
winemag 12001 to 12800,8193,54884,,White,France,"An almost Sauvignon Blanc-like palate of light lemon and mineral flavors melts into more citrus, plus green herbs and vegetables, on the finish. Lots of vanilla, plus a perfumey-floral sweetness, marks the bouquet.",,7,83,0.08,Loire Valley,"47.5532402, 1.0105289",47.5532402,1.0105289,Vin de Pays du Jardin de la France,"47.3941440, 0.6848400",47.394144,0.68484,Mont Saint-Vincent 2000 Chardonnay (Vin de Pays du Jardin de la France),https://www.winemag.com/buying-guide/mont-saint-vincent-2000-chardonnay-vin-pays-jardin/,Chardonnay,2000,Mont Saint-Vincent
winemag 11201 to 12000,15159,46108,13,White,France,"There's a graphite-like, mineral edge to this wine's green apple and lemon flavors, but it lacks depth and finishes short.",,8,83,0.1,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Mâcon-Villages,"46.3068839, 4.8287310",46.3068839,4.828731,Bouchard Aîné & Fils 2001  Mâcon-Villages,https://www.winemag.com/buying-guide/bouchard-aine-fils-2001-chardonnay-macon-villages/,Chardonnay,2001,Bouchard Aîné & Fils
winemag 10401 to 11200,15499,30761,12.5,White,France,"Has buttery, baked-apple aromas, but lacks that same sense of richness on the palate, with tart apple and lemon flavors following. Citrusy and fresh on the finish. Imported by Cannon Wines Limited.",,8,83,0.1,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,Patriarche Pére et Fils 2003 Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/patriarche-pere-fils-2003-chardonnay-vin-pays-doc/,Chardonnay,2003,Patriarche Pére et Fils
winemag 11201 to 12000,6683,37632,12.5,White,France,"Decently made but modest Chardonnay, with melon flavors that turn tart and earthy, veering toward grapefruit on the finish.",Nid D'Abeille,8,83,0.1,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,Mommessin 2003 Nid D'Abeille Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/mommessin-2003-nid-dabeille-chardonnay-vin-pays-doc/,Chardonnay,2003,Mommessin
winemag 3201 to 4000,774,93654,12.5,White,France,"This light, gently fruity wine has a soft, candied pear and apple flavor that is open, immediately accessible. The wine is ready to drink.",,9,83,0.11,France,null,null,null,Vin de France,null,null,null,Patriarche Pére et Fils 2015 Chardonnay (Vin de France),https://www.winemag.com/buying-guide/patriarche-pere-et-fils-2015-chardonnay-vin-de-france/,Chardonnay,2015,Patriarche Pére et Fils
winemag 12001 to 12800,12386,59077,13,White,France,"From a warm area of France-the hefty body and overt sweetness virtually announce ""Pays d'Oc white."" Melon and lemon notes spread across the chewy palate. A heavy dose of candy-store sugar is partially balanced by a brisk tang on the finish.",Milenage,9,83,0.11,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,Georges Duboeuf 1999 Milenage Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/georges-duboeuf-1999-milenage-chardonnay-vin-pays-doc/,Chardonnay,1999,Georges Duboeuf
winemag 8001 to 8800,10227,196632,13,White,France,Not terribly complex but certainly very approachable and easy to drink. Good acidity and medium weight play well with the flavors of orange and apple in the mouth.,Val De L'Ours,9,83,0.11,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,Domaines Barons de Rothschild (Lafite) 2008 Val De L'Ours Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/domaines-barons-rothschild-lafite-2008-val-lours-chardonnay-vin-pays-doc/,Chardonnay,2008,Domaines Barons de Rothschild (Lafite)
winemag 8801 to 9600,5207,222188,,White,France,"Shows some pleasant pear and pineapple aromas before easing into flavors of pear, quince and anise. It's only medium in body, but shows a flush of warmth on the finish. Drink now.",,9,83,0.11,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,Baron Philippe de Rothschild 2007 Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/baron-philippe-rothschild-2007-chardonnay-vin-pays-doc/,Chardonnay,2007,Baron Philippe de Rothschild
winemag 11201 to 12000,15158,46107,13,White,France,"Tired, and acquiring a smoky, petrolly note to show for it. There's still some lemon and green apple flavors at the core, finishing with juicy acidity.",Les Jumelles,10,83,0.12,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Mâcon-Villages,"46.3068839, 4.8287310",46.3068839,4.828731,F. Chauvenet 2000 Les Jumelles  (Mâcon-Villages),https://www.winemag.com/buying-guide/f-chauvenet-2000-jumelles-chardonnay-macon-villages/,Chardonnay,2000,F. Chauvenet
