filename,record number 1,record number 2,alcohol,category,country,description,designation,price,rating,cost per point,region,region coordinates ,region latitude,region longitude,subregion,subregion coordinates ,subregion latitude,subregion longitude,title,url,varietal,vintage,winery
winemag 12001 to 12800,925,47616,,Red,France,"Typical of Lynch-Bages in its sumptuous rich style, this is a resounding success for the team of Jean-Michel Cazes. With its sweet fruit, opulent but balanced wood and red and black fruit flavors, it is a wine that will develop relatively quickly but will certainly age.",,100,95,1.052631579,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Pauillac,"45.1995850, -0.7462120",45.199585,-0.746212,Château Lynch-Bages 2000  Pauillac,https://www.winemag.com/buying-guide/chateau-lynch-bages-2000-red-pauillac/,Bordeaux-style Red Blend,2000,Château Lynch-Bages
winemag 2401 to 3200,1977,79397,13.5,Red,France,"Fragrant and perfumed, this wine is the epitome of great Cabernet Sauvignon. It is fruity, juicy yet with serious concentrated tannins. There is spice from the wood aging along with a dash of pepper, all the while just bringing out the beautiful black-currant flavors. Drink this wine from 2024",,100,95,1.052631579,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Pauillac,"45.1995850, -0.7462120",45.199585,-0.746212,Château Lynch-Bages 2014  Pauillac,https://www.winemag.com/buying-guide/chateau-lynch-bages-2014-pauillac/,Bordeaux-style Red Blend,2014,Château Lynch-Bages
winemag 3201 to 4000,6194,99074,13,Red,France,"This wine is rich, with generous black plum and berry fruits. It has a structure that is full, ripe and that will sustain the fruitiness of the wine over many years. The sensation is of velvet, with some force behind it. This remarkable wine will develop well over the medium term and then age for many years. Drink from 2022.",,105,95,1.105263158,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Pauillac,"45.1995850, -0.7462120",45.199585,-0.746212,Château Pontet-Canet 2013  Pauillac,https://www.winemag.com/buying-guide/chateau-pontet-canet-2013-pauillac/,Bordeaux-style Red Blend,2013,Château Pontet-Canet
winemag 6401 to 7200,15001,170138,,Red,France,"One of the peculiarities of St.-Émilion's classification is that Canon la Gaffeliére is not classed in the top rung. Because, as this wine shows, it produces superb wines. This is ripe while so elegant, with great intensity and sweet perfumes.",,110,95,1.157894737,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Émilion,"44.8943870, -0.1557290",44.894387,-0.155729,Château Canon la Gaffeliére 2009  Saint-Émilion,https://www.winemag.com/buying-guide/chateau-canon-gaffeliere-2009-red-saint-emilion/,Bordeaux-style Red Blend,2009,Château Canon la Gaffeliére
winemag 10401 to 11200,10284,25546,,Red,France,"Somehow Barton has overcome the heat of the 2003 vintage and has come out with a new wine that is rich and elegant. There are generous tannins, ripe black currant fruits, balancing acidity, all in an ensemble that is so much more than the sum of its parts. Imported by Diageo Chateau & Estates.",,115,95,1.210526316,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Julien,"46.0260260, 4.6530810",46.026026,4.653081,Château Léoville Barton 2003  Saint-Julien,https://www.winemag.com/buying-guide/chateau-leoville-barton-2003-red-saint-julien/,Bordeaux-style Red Blend,2003,Château Léoville Barton
winemag 4801 to 5600,14551,138444,14.5,Red,France,"Great swathes of fruit cross the tannic core in this impressive wine. Hints of wood aging peek out from beneath the sumptuous richness and spice. It is ripe, dense and obviously set for long aging. Drink from 2018.",,115,95,1.210526316,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Julien,"46.0260260, 4.6530810",46.026026,4.653081,Château Léoville Barton 2011  Saint-Julien,https://www.winemag.com/buying-guide/chateau-leoville-barton-2011-red-saint-julien/,Bordeaux-style Red Blend,2011,Château Léoville Barton
winemag 6401 to 7200,14989,170126,,Red,France,"A rich and opulent wine, very ripe, packed with luscious blackberry and damson fruit as well as sweet tannins. It is a fruit salad of fruit flavors given structure by a core of dryness. Already a gorgeous wine, but one that will also age.",,116,95,1.221052632,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Margaux,"45.0420350, -0.6775190",45.042035,-0.677519,Château Rauzan-Ségla 2009  Margaux,https://www.winemag.com/buying-guide/chateau-rauzan-segla-2009-red-margaux/,Bordeaux-style Red Blend,2009,Château Rauzan-Ségla
winemag 6401 to 7200,14990,170127,,Red,France,"Elegant as well as rich, this is a beautiful wine. It has great depth of flavor, the sweetest fruit, deliciously ripe. At the same time, the tannins are an underlying sustenance to the impressive ageworthiness.",,120,95,1.263157895,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Émilion,"44.8943870, -0.1557290",44.894387,-0.155729,Clos Fourtet 2009  Saint-Émilion,https://www.winemag.com/buying-guide/clos-fourtet-2009-red-saint-emilion/,Bordeaux-style Red Blend,2009,Clos Fourtet
winemag 8001 to 8800,12384,198789,,Red,France,"With its perfumed aromas, this is a wine that has richness and sweetness, with soft velvet power. It has an intense wood element that needs to blend into the rest of the wine, but the sweet black currant and freshness provide a good balance. This is a seductive wine, with a fine solid character.",,120,95,1.263157895,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Estéphe,"45.2648099, -0.7717824",45.2648099,-0.7717824,Château Cos d'Estournel 2007  Saint-Estéphe,https://www.winemag.com/buying-guide/chateau-cos-destournel-2007-red-saint-estephe/,Bordeaux-style Red Blend,2007,Château Cos d'Estournel
winemag 7201 to 8000,12852,183623,,Red,France,"Smooth, with dense tannins hidden behind the ripe, pure fruit, this important wine shows class and an impeccable balance of fruit and tannin. Rich as well as structured, this is a beautiful wine.",,125,95,1.315789474,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Pauillac,"45.1995850, -0.7462120",45.199585,-0.746212,Château Pontet-Canet 2008  Pauillac,https://www.winemag.com/buying-guide/chateau-pontet-canet-2008-red-pauillac/,Bordeaux-style Red Blend,2008,Château Pontet-Canet
winemag 2401 to 3200,1988,79408,13.5,Red,France,"This is rich, while also such a stylish wine. It is ripe and full of tannins while masking that firm structure with immensely generous fruit. The two give the wine power, density and elegance. Drink this impressive wine from 2025.",,130,95,1.368421053,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Pauillac,"45.1995850, -0.7462120",45.199585,-0.746212,Château Pichon Longueville 2014  Pauillac,https://www.winemag.com/buying-guide/chateau-pichon-longueville-2014-pauillac/,Bordeaux-style Red Blend,2014,Château Pichon Longueville
winemag 4001 to 4800,7361,115774,,Red,France,"This is a grandiose wine with impressive dark tannins and swathes of black plum fruits. A hint of licorice and dark chocolate lies over the brooding, firm texture. Expect such a concentrated, solid and serious wine to age well. Drink from 2019.",,130,95,1.368421053,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Émilion,"44.8943870, -0.1557290",44.894387,-0.155729,Vieux Château Mazerat 2012  Saint-Émilion,https://www.winemag.com/buying-guide/vieux-chateau-mazerat-2012-red-saint-emilion/,Bordeaux-style Red Blend,2012,Vieux Château Mazerat
winemag 5601 to 6400,10738,150209,,Red,France,"This is a big and smoky wine that's very concentrated. It shows both the power and the structure of the vintage, as well as balances fresh, fragrant fruit. Dry tannins and the dusty texture are finely integrated into a wine that layers wood, intense acidity and great long-term potential.",,130,95,1.368421053,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Émilion,"44.8943870, -0.1557290",44.894387,-0.155729,Vieux Château Mazerat 2010  Saint-Émilion,https://www.winemag.com/buying-guide/vieux-chateau-mazerat-2010-red-saint-emilion/,Bordeaux-style Red Blend,2010,Vieux Château Mazerat
winemag 12001 to 12800,8007,54698,,Red,France,"Almost black in color. Hugely rich, ripe bouquet with dark fruits. A hint of tobacco, plus structured tannins and acidity give the wine shape. The richness and depth of fruit are here, but so also is the ability to age. Give this 10 years before matruity.",Pomerol,135,95,1.421052632,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Château La Conseillante 1998 Pomerol  (Bordeaux),https://www.winemag.com/buying-guide/chateau-conseillante-1998-pomerol-red-bordeaux/,Bordeaux-style Red Blend,1998,Château La Conseillante
winemag 3201 to 4000,6550,99430,13,Red,France,"This impressively powerful wine has dense tannins and concentration. With 74%  Cabernet Sauvignon, it is firm, packed with black-currant fruits with intense, perfumed acidity. Cabernet Franc adds spice to the wine. The wood aging is still showing and the wine will need several years before enjoying. Drink from 2025.",,140,95,1.473684211,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Julien,"46.0260260, 4.6530810",46.026026,4.653081,Château Léoville Las Cases 2013  Saint-Julien,https://www.winemag.com/buying-guide/chateau-leoville-las-cases-2013-saint-julien/,Bordeaux-style Red Blend,2013,Château Léoville Las Cases
winemag 1601 to 2400,13424,75374,13.5,Red,France,"This powerful ripe wine has firm tannins that are so well integrated. With acidity and with rich black fruit, the wine is concentrated and dense. From a small parcel on the slope of Saint-Emilion, it is a wine to age for many years. Drink from 2026.",,150,95,1.578947368,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Émilion,"44.8943870, -0.1557290",44.894387,-0.155729,Vieux Château Mazerat 2014  Saint-Émilion,https://www.winemag.com/buying-guide/vieux-chateau-mazerat-2014-saint-emilion/,Bordeaux-style Red Blend,2014,Vieux Château Mazerat
winemag 4801 to 5600,8532,132425,13.5,Red,France,"This powerful wine comes from a superbly sited vineyard in the heart of Saint-Emilion. It is concentrated with huge tannins laced with black plum juice, dark berries and a dense, brooding character. A powerhouse of both fruit and tannin, it needs to age. Drink from 2018.",,150,95,1.578947368,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Émilion,"44.8943870, -0.1557290",44.894387,-0.155729,Vieux Château Mazerat 2011  Saint-Émilion,https://www.winemag.com/buying-guide/vieux-chateau-mazerat-2011-red-saint-emilion/,Bordeaux-style Red Blend,2011,Vieux Château Mazerat
winemag 801 to 1600,6171,208214,14.5,Red,France,"This powerful wine has great structure, fine and elegant tannins, and ripe black fruits. It wears its heart on its sleeve. The concentration doesn't take away from the juicy fruit and wealth of complex flavors. A wine with a great future, it won't be ready to drink before 2026.",Vieux Château Mazerat,150,95,1.578947368,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Émilion,"44.8943870, -0.1557290",44.894387,-0.155729,JCP Maltus 2015 Vieux Château Mazerat  (Saint-Émilion),https://www.winemag.com/buying-guide/jcp-maltus-2015-vieux-chateau-mazerat-saint-emilion/,Bordeaux-style Red Blend,2015,JCP Maltus
winemag 10401 to 11200,10085,25347,,Red,France,"With its aromas of new wood, spice and black fruits, this promises from the start to be a powerful, polished wine. It is dense, very ripe (from the high percentage of Merlot in the blend), but still packed with tannins. It's a massive wine, bringing together the heat of 2003 with the big tannins of Saint-Estéphe. Imported by Diageo Chateau & Estates.",,150,95,1.578947368,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Estéphe,"45.2648099, -0.7717824",45.2648099,-0.7717824,Château Cos d'Estournel 2003  Saint-Estéphe,https://www.winemag.com/buying-guide/chateau-cos-destournel-2003-red-saint-estephe/,Bordeaux-style Red Blend,2003,Château Cos d'Estournel
winemag 5601 to 6400,11834,151305,,Red,France,"94-96. Barrel sample. This very ripe, full-bodied wine is powered by sweet blackberries and solid tannins. It is a full, concentrated and complex wine that has a great future.",Barrel Sample,150,95,1.578947368,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Julien,"46.0260260, 4.6530810",46.026026,4.653081,Château Léoville Poyferré 2012 Barrel Sample  (Saint-Julien),https://www.winemag.com/buying-guide/chateau-leoville-poyferre-2012-barrel-sample-red-saint-julien/,Bordeaux-style Red Blend,2012,Château Léoville Poyferré
