"index","alcohol","category","country","description","designation","price","rating","region","subregion","title","url","varietal","vintage","winery"
"16",NULL,"Sparkling","France","Maybe this wine is an acquired taste, but for lovers of older Champagne, this 15-year-old wine is fascinating. Its mature orange-pink color, closer to the color of sunrise than sunset, and aromas of ripe, toasty fruit set the scene. To taste, it is toasty, woody with layers of rich fruit and flavors of vanilla and spices.","Diamant Rosé","70","92","Champagne","Champagne","Heidsieck & Co Monopole 1988 Diamant Rosé  (Champagne)","https://www.winemag.com/buying-guide/heidsieck-co-monopole-1988-diamant-rose-champagne-31162/","Champagne Blend","1988","Heidsieck & Co Monopole"
"17","12","Sparkling","France","Perhaps past its peak, the wine is a pleasure nonetheless in so many ways. An amazingly deep rust hue, it smells distinctly of Sherry cask, with the complexity of old yeast. Elegant styling and a precise focus carry the appealing though certainly oxidized flavors all the way through a lingering finish.","Diamant Rosé","70","89","Champagne","Champagne","Heidsieck & Co Monopole 1988 Diamant Rosé  (Champagne)","https://www.winemag.com/buying-guide/heidsieck-co-monopole-1988-diamant-rose-champagne-20107/","Champagne Blend","1988","Heidsieck & Co Monopole"
"18","12","Sparkling","France","Incredibly sophisticated from the bouquet's first full toast, apple, thyme, meal, orange, even meaty notes. The fine steady bead, mouthcoating, creamy feel and deep vanilla, apple and earth flavors comprise a very complete statement about age-worthy Champagne. It's mature, and shows subtleties youthful wines can not, but it's still lively, and displays a wealth of life and spirit through the tangy flavored but smoothly textured finish. Drink now-2012.","Brut","210","93","Champagne","Champagne","Krug 1988 Brut  (Champagne)","https://www.winemag.com/buying-guide/krug-1988-brut-champagne-13389/","Champagne Blend","1988","Krug"
"19","12","Sparkling","France","Profound, finely nuanced single vineyard Champagne that weaves disparate elements into a stunning, seamless whole. A full range of caramel, floral, citrus, forest floor, mustard greens and dried cherry aromas and flavors work in great harmony. The mouthfeel displays a positive, brilliant tension: it's full-yet light, bright and zingy-but even, smooth, yet to some tasters, almost gravelly-textured. Lengthy, lime-tinged, the tight, almost austere finish bodes a great, long life ahead for this still-youthful 1988.","Clos du Mesnil Blanc de Blancs Brut","370","95","Champagne","Champagne","Krug 1988 Clos du Mesnil Blanc de Blancs Brut Chardonnay (Champagne)","https://www.winemag.com/buying-guide/krug-1988-clos-mesnil-blanc-blancs-brut-chardonnay-champagne/","Chardonnay","1988","Krug"
"20","12","Sparkling","France","This mature wine opens with rich apple and carmel aromas.  the bead is excellent, the mouthfeel still taut and bracingly dry, showing the high acidity seen in many 1988s.  Displays bitter citrus, herb and apple-skin flavors and a long lemon and spice finish with a burnt matchstick element.  Tasters noted the dichotomy between the seductive, ripe nose and lean palate.  This may need even more time.","R.D. Extra Brut","150","88","Champagne","Champagne","Bollinger 1988 R.D. Extra Brut  (Champagne)","https://www.winemag.com/buying-guide/bollinger-1988-rd-extra-brut-sparkling-champagne/","Champagne Blend","1988","Bollinger"
"21","12","Sparkling","France","This mature wine opens with rich apple and caramel aromas. The bead is excellent, the mouthfeel still taut and bracingly dry, showing the high acidity seen in many 1988s. Displays bitter-citrus, herb and apple-skin flavors and a long lemon and spice finish with a burnt matchstick element. Tasters noted the dichotomy between the seductive, ripe nose and lean palate. This may need even more time.","R.D. Extra Brut","150","89","Champagne","Champagne","Bollinger 1988 R.D. Extra Brut  (Champagne)","https://www.winemag.com/buying-guide/bollinger-1988-r-d-extra-brut-champagne-13333/","Champagne Blend","1988","Bollinger"
"22","12","Sparkling","France","A rich nose of honey, marmalade and yeast opens to full apple and lemon-custard flavors. There's fullness, but also a less-than-sparkling quality that's a little disappointing considering the Krug pedigree. Medium-weight, it finishes with buttery, oaky complexity but not the length you'd expect.","Brut","230","88","Champagne","Champagne","Krug 1988 Brut  (Champagne)","https://www.winemag.com/buying-guide/krug-1988-brut-sparkling-champagne/","Champagne Blend","1988","Krug"
"23","12","Sparkling","France","The onion-skin color is pretty to look at, and even nicer is the complex aroma: earthy and rich, suggesting cherry-chocolate candy, toast and yeast. It really stands out on the palate, where the full-bodied cherry flavors are highlighted by crisp acidity. Notable for its balance, finesse and sheer charm.","Diamant Rosé","70","89","Champagne","Champagne","Heidsieck & Co Monopole 1988 Diamant Rosé  (Champagne)","https://www.winemag.com/buying-guide/heidsieck-co-monopole-1988-diamant-rose-sparkling-champagne/","Champagne Blend","1988","Heidsieck & Co Monopole"
"24","12.5","Sparkling","France","Interesting aromas and flavors abound with biscuit, toast, lemon and ginger. The texture is full and mature, but the wine still has very good acidity to support its apple, lime and spice flavors. It has an appealing mix of heavy and light elements, and it finishes long, with apple and mint notes.","La Cuvée Nominée","95","90","Champagne","Champagne","Jacquart 1988 La Cuvée Nominée  (Champagne)","https://www.winemag.com/buying-guide/jacquart-1988-cuvee-nominee-sparkling-champagne/","Champagne Blend","1988","Jacquart"
"25","12","Sparkling","France","Still seems quite young-or maybe it will always be a little tight and austere, especially next to its voluptuous older sibling, the '85. Biscuity and yeasty, with an angularity that refreshes the palate.","Le Mesnil Blanc de Blancs Brut","200","93","Champagne","Champagne","Salon 1988 Le Mesnil Blanc de Blancs Brut Chardonnay (Champagne)","https://www.winemag.com/buying-guide/salon-1988-le-mesnil-blanc-blancs-brut-chardonnay-champagne/","Chardonnay","1988","Salon"
"26",NULL,"Sparkling","France","When most prestige Cuvées are priced in the $85-$150 range, it is gratifying to note that Piper-Heidsieck's Rare is so reasonable. Made with 65% Pinot Noir, 35% Char-donnay, the Rare's pedigree is flawless-all the grapes are from grand cru villages. It's medium-bodied and quite dry, with lots of acidity to keep it young and lively.","Cuvée Rare Réservée Brut","65","94","Champagne","Champagne","Piper-Heidsieck 1988 Cuvée Rare Réservée Brut  (Champagne)","https://www.winemag.com/buying-guide/piper-heidsieck-1988-cuvee-rare-reservee-brut-sparkling-champagne/","Champagne Blend","1988","Piper-Heidsieck"
"27",NULL,"Sparkling","France","This is a classic food Champagne, hugely rich, toasty, generous. Yes, there is acidity and minerality, but these individual factors are less important than the overall opulence of this intense wine. It is still amazingly young, fresh and vibrant, but also so powerful.","Brut","500","95","Champagne","Champagne","Krug 1989 Brut  (Champagne)","https://www.winemag.com/buying-guide/krug-1989-brut-sparkling-champagne/","Champagne Blend","1989","Krug"
"28","12","Sparkling","France","Rich and aged, but still fairly fresh. Smells like scrambled egg, vanilla and pear, setting up flavors of citrus and apple. Plenty of zesty acidity keeps this wine kicking, and the butterscotch and dust on the finish are nice and add depth. Imported by Vranken America.","Orgueil de France Brut","100","91","Champagne","Champagne","Charles Lafitte 1989 Orgueil de France Brut  (Champagne)","https://www.winemag.com/buying-guide/charles-lafitte-1989-orgueil-de-france-brut-champagne-49843/","Champagne Blend","1989","Charles Lafitte"
"29",NULL,"Sparkling","France","This is what mature Champagne should taste like. A fine, full-bodied wine, with ripeness and balancing toasty flavors. This is full of richness and flavors of almonds and mature fruit. A well-balanced wine which still has life ahead of it.","Cuvée des Enchanteleurs Brut","149","91","Champagne","Champagne","Henriot 1989 Cuvée des Enchanteleurs Brut  (Champagne)","https://www.winemag.com/buying-guide/henriot-1989-cuvee-enchanteleurs-brut-sparkling-champagne/","Champagne Blend","1989","Henriot"
"30","12","Sparkling","France","A very mature, toasty wine, which has acidity and wonderful toasty flavors. It is rich, but somehow there is a hint of sweetness from the dosage which suggests the wine is reaching the end of its life. Drink now.","Orgueil de France Brut","90","84","Champagne","Champagne","Charles Lafitte 1989 Orgueil de France Brut  (Champagne)","https://www.winemag.com/buying-guide/charles-lafitte-1989-orgueil-de-france-brut-champagne-38158/","Champagne Blend","1989","Charles Lafitte"
"31","12","Sparkling","France","If this is the current release, it is showing its age. The color is noticeably tilted to the gold side; and a sweaty, musty scent overrides the oxidized Sherry-cask character. Tangy, even salty in the mouth, with some bitterness in the finish.","Orgueil de France Brut","50","86","Champagne","Champagne","Charles Lafitte 1989 Orgueil de France Brut  (Champagne)","https://www.winemag.com/buying-guide/charles-lafitte-1989-orgueil-france-brut-sparkling-champagne/","Champagne Blend","1989","Charles Lafitte"
"32","12.5","Sparkling","France","This rich, dry, mature1989 shows buttery brioche, licqueur, caramel and apple aromas.  Medium-full dry cherry, apple, yellow plum and toast flavors work in lovely harmony, creating a complex palate impression.  Lemon-lime and mineral notes, with an intriguing, faintly bitter, quinine-like hint play out on the long finish.","Louise","120","91","Champagne","Champagne","Pommery 1989 Louise  (Champagne)","https://www.winemag.com/buying-guide/pommery-1989-louise-sparkling-champagne/","Champagne Blend","1989","Pommery"
"33","12.5","Sparkling","France","This tête de Cuvée offers everything a Champagne lover seeks: rich, yeasty bread notes on the bouquet; ripe pear, citrus and vanilla flavors; a luxurious mouthfeel; dainty bubbles-the works. While it's mature, it also seems to have lots of life still in it, meaning it could get better. But why wait? It's in such a state of grace now.","Noble Cuvée Brut","120","93","Champagne","Champagne","Lanson 1989 Noble Cuvée Brut  (Champagne)","https://www.winemag.com/buying-guide/lanson-1989-noble-cuvee-brut-sparkling-champagne/","Champagne Blend","1989","Lanson"
"34","12","Sparkling","France","Fresh bakery, coconut and caramel aromas open to a round, sensuous palate in this mature bottling. Relatively low-acid, crisp green apple and stone fruit flavors and tart citrus accents keep the palate bright. It's ready to drink, finishing long and taut, with persistent lemon-lime notes.","Brut","85","91","Champagne","Champagne","Bruno Paillard 1989 Brut  (Champagne)","https://www.winemag.com/buying-guide/bruno-paillard-1989-brut-sparkling-champagne/","Champagne Blend","1989","Bruno Paillard"
"35","12","Sparkling","France","Really fine for a low-acid vintage, there's an intriguing nose here with white pepper, sandalwood and pine-nut elements. There are mature notes to the apple, toast and pepper flavors, good backbone, and the texture is just lovely. This well-developed example still has youthful elements, and closes with a grapefruit-mineral finish that is both relaxed and complex.","Diamant Bleu","70","91","Champagne","Champagne","Heidsieck & Co Monopole 1989 Diamant Bleu  (Champagne)","https://www.winemag.com/buying-guide/heidsieck-co-monopole-1989-diamant-bleu-sparkling-champagne/","Champagne Blend","1989","Heidsieck & Co Monopole"
"36","12","Sparkling","France","This very pale Rosé has the richness of toast and croissant that comes from complete maturity. It also features fresh hints of the red and white fruits that were present during the wine's younger years. This is ready to drink now.","Cave Privée Brut Rosé","246","96","Champagne","Champagne","Veuve Clicquot Ponsardin 1989 Cave Privée Brut Rosé  (Champagne)","https://www.winemag.com/buying-guide/veuve-clicquot-ponsardin-1989-cave-privee-brut-rose-sparkling-champagne/","Champagne Blend","1989","Veuve Clicquot Ponsardin"
"51","12","Sparkling","France","Toasted popcorn and smoked cheese blend with buttery caramel flavors. Has a soft yet complex mouthfeel and an easy finish.","Blanc des Millénaires","85","89","Champagne","Champagne","Charles Heidsieck 1990 Blanc des Millénaires Chardonnay (Champagne)","https://www.winemag.com/buying-guide/charles-heidsieck-1990-blanc-millenaires-chardonnay-champagne/","Chardonnay","1990","Charles Heidsieck"
"37","12","Sparkling","France","In contrast to the 1990 vintage, this tastes old. But it has a sturdy structure and character that bring it closer to Champagne. It is certainly a wine for lovers of old Champagne, but as it opens in the glass all the disparate elements come together.","Vinothéque Premier Cru Extra-Dry","120","88","Champagne","Champagne","J. Dumangin Fils 1989 Vinothéque Premier Cru Extra-Dry  (Champagne)","https://www.winemag.com/buying-guide/j-dumangin-fils-1989-vinotheque-premier-cru-extra-dry-sparkling-champagne/","Champagne Blend","1989","J. Dumangin Fils"
"38","12","Sparkling","France","Heavy-handed Champagne, and rather overblown. The fruit has flavors of ripe apples, with strong hints of sweetness from the dosage.","Orgueil de France Brut","100","83","Champagne","Champagne","Charles Lafitte 1989 Orgueil de France Brut  (Champagne)","https://www.winemag.com/buying-guide/charles-lafitte-1989-orgueil-de-france-brut-champagne-77203/","Champagne Blend","1989","Charles Lafitte"
"39",NULL,"Sparkling","France","Dominated by Chardonnay, this wine has great depth of flavor, benefiting from the 13 years-aging on lees before disgorging. It is now a fine, balanced, mature wine, dominated by grilled almond and toast flavors, leaving a pure trail of acidity to finish.","Cuvée des Enchanteleurs Brut","149","94","Champagne","Champagne","Henriot 1990 Cuvée des Enchanteleurs Brut  (Champagne)","https://www.winemag.com/buying-guide/henriot-1990-cuvee-enchanteleurs-brut-sparkling-champagne/","Champagne Blend","1990","Henriot"
"40","12","Sparkling","France","A touch oxidized and mushroomy, but still fairly regal and full of vanilla and baked apple. Those same components carry onto the palate, where cinnamon enters the fray. Finishes lemony, with some tart apple along with sweeter caramel. Imported by Vintus LLC.","N.P.U.","185","92","Champagne","Champagne","Bruno Paillard 1990 N.P.U.  (Champagne)","https://www.winemag.com/buying-guide/bruno-paillard-1990-n-p-u-champagne-48612/","Champagne Blend","1990","Bruno Paillard"
"41","12","Sparkling","France","A bit dark in color and lacking in bubbles, but when it comes to aromas and flavors it's out of this world. Vanilla, cinnamon, almond and apple scents are ethereal and mature as can be, while the palate deals layered apple and spice in multiple layers. Runs a mile long but soft on the finish. Unique in style; not the least bit zesty. Imported by Clicquot Inc.","Brut","224","95","Champagne","Champagne","Krug 1990 Brut  (Champagne)","https://www.winemag.com/buying-guide/krug-1990-brut-champagne-49347/","Champagne Blend","1990","Krug"
"42",NULL,"Sparkling","France","Also tasted out of magnum, although the price listed is for a single bottle. This rivals the '85, delivering great complexity and a rich, round mouthfeel.","Brut Rosé","235","92","Champagne","Champagne","Veuve Clicquot Ponsardin 1990 Brut Rosé  (Champagne)","https://www.winemag.com/buying-guide/veuve-clicquot-ponsardin-1990-brut-rose-sparkling-champagne/","Champagne Blend","1990","Veuve Clicquot Ponsardin"
"43",NULL,"Sparkling","France","Aromas of walnuts and red fruits show that this is a still a young wine. And that is confirmed by the taste, which is full-bodied but still very fresh and, ripe rather than mature. With its blend of premier and grand cru wines from the hot 1990 vintage, it is almost more like a wine than a Champagne.","Cuvée Josephine","120","89","Champagne","Champagne","Joseph Perrier 1990 Cuvée Josephine  (Champagne)","https://www.winemag.com/buying-guide/joseph-perrier-1990-cuvee-josephine-sparkling-champagne/","Champagne Blend","1990","Joseph Perrier"
"44","12.5","Sparkling","France","Disgorged in 1993, this wine seems very youthful. Lovely aromas and flavors of smoke, toast, citrus fruit and cream still need more time to develop the rich, nutty notes that characterize well-aged Dom. Although some purchasers will prefer this wine's freshness, I think I'd prefer a well-cellared example from the original release. Try holding this another 5-10 years.","Dom Perignon Oenothéque","260","90","Champagne","Champagne","Moët & Chandon 1990 Dom Perignon Oenothéque  (Champagne)","https://www.winemag.com/buying-guide/moet-chandon-1990-dom-perignon-oenotheque-sparkling-champagne/","Champagne Blend","1990","Moët & Chandon"
"45","12","Sparkling","France","A full, rich wine, that brings together the Krug style with its vanilla flavors and power with the great 1990 vintage. After 14 years, this wine is developing still, hinting at toast along with flavors of peach, nuts and a touch of honey. It is intense, very much a food Champagne, but still retains freshness and the potential for further aging.","Brut","205","96","Champagne","Champagne","Krug 1990 Brut  (Champagne)","https://www.winemag.com/buying-guide/krug-1990-brut-sparkling-champagne/","Champagne Blend","1990","Krug"
"46",NULL,"Sparkling","France","A young wine, still very green and crisp, this shows great potential. When its acidity and the dosage have blended together, this will be a rich, but elegant wine, with flavors of crisp white currants, and a touch of almonds. Great acidity gives this a fine, clean aftertaste.","Blanc de Chardonnay","42","87","Champagne","Champagne","Duval-Leroy 1990 Blanc de Chardonnay  (Champagne)","https://www.winemag.com/buying-guide/duval-leroy-1990-blanc-chardonnay-sparkling-champagne/","Champagne Blend","1990","Duval-Leroy"
"47","12","Sparkling","France","Wonderfully rich, yeasty, dusty aromas; its flavor profile isn't toasty, exactly, but has a sweet wheat-cracker richness, plus a zip of citrus zest. As is the case with most Heidsieck wines, the mouthfeel is rich and textured with fine bead. Finishes with flavors of nougat and marzipan.","Blanc des Millénaires","85","91","Champagne","Champagne","Charles Heidsieck 1990 Blanc des Millénaires  (Champagne)","https://www.winemag.com/buying-guide/charles-heidsieck-1990-blanc-millenaires-sparkling-champagne/","Champagne Blend","1990","Charles Heidsieck"
"48",NULL,"Sparkling","France","Round and full-bodied style, with lots of smooth, well-integrated toasted, nutty and slightly oily flavors; the fruit plays hide-and-seek in the background, behind scents of black olive and Sherry.","Cuvée Rare Réservée Brut","70","91","Champagne","Champagne","Piper-Heidsieck 1990 Cuvée Rare Réservée Brut  (Champagne)","https://www.winemag.com/buying-guide/piper-heidsieck-1990-cuvee-rare-reservee-brut-champagne-31138/","Champagne Blend","1990","Piper-Heidsieck"
"49","12","Sparkling","France","Spent nine years on lees; starts off with a pastry-crust aroma. The wine's mouthfeel is beautifully textured, neither too coarse nor too foamy. The flavor that manifests itself as butterscotch in the nonvintage brut is, here, like honey and toffee, adding richness to a pear-fruit core. A creamy, full and sexy wine, finishing medium-long. To toast with this wine is reason in and of itself to get married.","Brut en Magnum","145","93","Champagne","Champagne","Charles Heidsieck 1990 Brut en Magnum  (Champagne)","https://www.winemag.com/buying-guide/charles-heidsieck-1990-brut-en-magnum-sparkling-champagne/","Champagne Blend","1990","Charles Heidsieck"
"50","12","Sparkling","France","An excellent balance of earthy, meaty flavors and bright, racy acidity. Its bead is fine; its mousse, creamy. Tangy lemon and grapefruit flavors liven up the finish.","R.D. Extra Brut","150","90","Champagne","Champagne","Bollinger 1990 R.D. Extra Brut  (Champagne)","https://www.winemag.com/buying-guide/bollinger-1990-rd-extra-brut-sparkling-champagne/","Champagne Blend","1990","Bollinger"
"52","12","Sparkling","France","A disappointment given the exuberant stylishness of Duval-Leroy's nonvintage bruts, this is oxidized and redolent of cookie dough and marzipan. It seems quite tired, and falls quickly flat on the palate.","Femme Brut","69","85","Champagne","Champagne","Duval-Leroy 1990 Femme Brut Chardonnay (Champagne)","https://www.winemag.com/buying-guide/duval-leroy-1990-femme-brut-chardonnay-champagne/","Chardonnay","1990","Duval-Leroy"
"53","12","Sparkling","France","It's unanimously excellent votes from the tasting panel are well-deserved.  Its nose is a sexy yet comforting blend of vanilla, apple, bread, butter and light brown sugar.  The palate is at once fresh (one reviewer detected celery-like notes) and ""like a good dessert"" with note of almond paste and tiramisu against a fruity backdrop.  Full in the mouth, it winds up with a long, throat-coating herb and lime, but slightly sweet finish.","Cuvée Rare Réservée Brut","70","91","Champagne","Champagne","Piper-Heidsieck 1990 Cuvée Rare Réservée Brut  (Champagne)","https://www.winemag.com/buying-guide/piper-heidsieck-1990-cuvee-rare-reservee-brut-sparkling-champagne/","Champagne Blend","1990","Piper-Heidsieck"
"54","12","Sparkling","France","Full and elegant, even plush, from the sexy butter, caramel, smoke and vanilla bouquet through the plum, tropical- fruit and dried peach flavors and chalk and mineral accents on the palate.  There's great nuance here, as there always is with Salon.  Though it's younger, this seems already softer and more forward than the 1985 and 1988 tasted last year. Drink now through 2010","Le Mesnil Blanc de Blancs Brut","200","91","Champagne","Champagne","Salon 1990 Le Mesnil Blanc de Blancs Brut Chardonnay (Champagne)","https://www.winemag.com/buying-guide/salon-1990-le-mesnil-blanc-blancs-brut-chardonnay-champagne/","Chardonnay","1990","Salon"
"55","12","Sparkling","France","Mature, yet still quite lively, this less-familiar luxury bottling deserves more attention and is worth the hunt. The full apple, hay and earth bouquet is accented by dark, rich, almost meaty notes. It displays an even bead, lovely balance, and a full but not heavy mouthfeel with dried fruit flavors and caramel accents. An impressive bottling that closes long and dry, drinks well now, and has the stuff to last through the decade.","Cuvée Orpale","99","92","Champagne","Champagne","De Saint Gall 1990 Cuvée Orpale Chardonnay (Champagne)","https://www.winemag.com/buying-guide/saint-gall-1990-cuvee-orpale-chardonnay-champagne/","Chardonnay","1990","De Saint Gall"
"56",NULL,"Sparkling","France","This shows a beautiful, mature, burnished copper color and a plum, toast, earth and smoke bouquet with that 'funky-in-a-great-way' complex Pinot edge. It's creamy and full on the palate, with a lovely mousse and near perfect acidity, and dried cherry, berry and plum flavors bearing sweet hay and earthy notes. Finishes with incredible length and intensity, dusty rose and kirsch notes. Great juice, delicious now and for a long time.","Dom Perignon Rosé","290","94","Champagne","Champagne","Moët & Chandon 1990 Dom Perignon Rosé  (Champagne)","https://www.winemag.com/buying-guide/moet-chandon-1990-dom-perignon-rose-champagne-13603/","Champagne Blend","1990","Moët & Chandon"
"57",NULL,"Sparkling","France","It's a pale wine, on the rose side of gold, a beautiful visual introduction to a stunning wine. The strawberry flavors are wrapped in a silvery texture, crisply dry, and despite the intensity of fruit, the wine seems weightless on the palate. It's gorgeous now, but, amazingly, just a baby. It's long-term future is assured. Twenty years from now, this will be heavenly.","Grand Siecle Alexandra Rosé","260","94","Champagne","Champagne","Laurent-Perrier 1990 Grand Siecle Alexandra Rosé  (Champagne)","https://www.winemag.com/buying-guide/laurent-perrier-1990-grand-siecle-alexandra-rose-sparkling-champagne/","Champagne Blend","1990","Laurent-Perrier"
"58",NULL,"Sparkling","France","Smells rich and heavy, with scents of candied Play-Doh wrapped around rosemary and anise upon first opening; later, aromas of sweet pastry dough and custard move to the fore.  Despite the weighty aromas, the palate is lighter than you might expect, featuring lime and vanilla flavors.","Dom Ruinart Blanc de Blancs Brut","130","86","Champagne","Champagne","Ruinart 1990 Dom Ruinart Blanc de Blancs Brut Chardonnay (Champagne)","https://www.winemag.com/buying-guide/ruinart-1990-dom-blanc-blancs-brut-chardonnay-champagne/","Chardonnay","1990","Ruinart"
"59","12","Sparkling","France","Opens with a stunning layered, bouquet of dried fruits, sandalwood, flowers, smoke and ginger. It's full on the tongue, with rich pear and apple flavors, toast and yeast accents. Citrus and mineral notes persist on the lengthy finish of this impressively complex bottling. Sourced from seven grand cru villages, this is superb now and will last a very long time.","N.P.U.","185","95","Champagne","Champagne","Bruno Paillard 1990 N.P.U.  (Champagne)","https://www.winemag.com/buying-guide/bruno-paillard-1990-npu-sparkling-champagne/","Champagne Blend","1990","Bruno Paillard"
"60","12","Sparkling","France","Has round, complete, aged Champagne aromas of warm biscuit, nutty-smoky notes, and rich, spicy toast. Complex and delicious, it's dry, with a smooth texture and a finish that is long and spicy. A first-rate vintage bubbly.","Premier Cru Blanc de Blancs Brut","43","91","Champagne","Champagne","Comte de Lantage 1990 Premier Cru Blanc de Blancs Brut  (Champagne)","https://www.winemag.com/buying-guide/comte-lantage-1990-premier-cru-blanc-blancs-brut-sparkling-champagne/","Champagne Blend","1990","Comte de Lantage"
