Type of Wine,Descriptor ,Descriptor Count,How Often Descriptor Appears
California Chardonnay - 80-84 Points,everyday ,75,6%
California Chardonnay - 80-84 Points,heavy ,73,6%
California Chardonnay - 80-84 Points,citrus ,72,6%
California Chardonnay - 80-84 Points,tart ,70,6%
California Chardonnay - 80-84 Points,pretty ,69,6%
California Chardonnay - 80-84 Points,lemon ,67,5%
California Chardonnay - 80-84 Points,popcorn ,65,5%
California Chardonnay - 80-84 Points,butterscotch ,64,5%
California Chardonnay - 80-84 Points,nice ,63,5%
California Chardonnay - 80-84 Points,earthy ,61,5%
California Chardonnay - 80-84 Points,smoky ,61,5%
California Chardonnay - 80-84 Points,apples ,59,5%
California Chardonnay - 80-84 Points,cream ,58,5%
California Chardonnay - 80-84 Points,spicy ,54,4%
California Chardonnay - 80-84 Points,pears ,53,4%
California Chardonnay - 80-84 Points,balance ,53,4%
California Chardonnay - 80-84 Points,lime ,52,4%
California Chardonnay - 80-84 Points,modest ,51,4%
California Chardonnay - 80-84 Points,rich ,49,4%
California Chardonnay - 80-84 Points,watery ,45,4%
California Chardonnay - 80-84 Points,strong ,44,4%
,,,
California Chardonnay - 85-89 Points,oak ,1843,43%
California Chardonnay - 85-89 Points,apple ,1181,27%
California Chardonnay - 85-89 Points,vanilla ,1083,25%
California Chardonnay - 85-89 Points,ripe ,995,23%
California Chardonnay - 85-89 Points,pear ,906,21%
California Chardonnay - 85-89 Points,pineapple ,903,21%
California Chardonnay - 85-89 Points,rich ,890,21%
California Chardonnay - 85-89 Points,toast ,752,17%
California Chardonnay - 85-89 Points,tropical ,742,17%
California Chardonnay - 85-89 Points,peach ,709,16%
California Chardonnay - 85-89 Points,crisp ,704,16%
California Chardonnay - 85-89 Points,buttered ,704,16%
California Chardonnay - 85-89 Points,lemon ,680,16%
California Chardonnay - 85-89 Points,dry ,620,14%
California Chardonnay - 85-89 Points,good ,591,14%
California Chardonnay - 85-89 Points,creamy ,567,13%
California Chardonnay - 85-89 Points,sweet ,561,13%
California Chardonnay - 85-89 Points,citrus ,507,12%
California Chardonnay - 85-89 Points,green ,479,11%
California Chardonnay - 85-89 Points,oaky ,476,11%
California Chardonnay - 85-89 Points,lime ,449,10%
California Chardonnay - 85-89 Points,clean ,413,10%
California Chardonnay - 85-89 Points,apples ,337,8%
California Chardonnay - 85-89 Points,smoky ,329,8%
California Chardonnay - 85-89 Points,orange ,322,7%
California Chardonnay - 85-89 Points,caramel ,321,7%
California Chardonnay - 85-89 Points,pineapples ,314,7%
California Chardonnay - 85-89 Points,bright ,297,7%
California Chardonnay - 85-89 Points,nice ,284,7%
California Chardonnay - 85-89 Points,tart ,280,6%
California Chardonnay - 85-89 Points,spicy ,279,6%
California Chardonnay - 85-89 Points,spice ,269,6%
California Chardonnay - 85-89 Points,light ,258,6%
California Chardonnay - 85-89 Points,soft ,256,6%
California Chardonnay - 85-89 Points,peaches ,252,6%
California Chardonnay - 85-89 Points,toasty ,242,6%
California Chardonnay - 85-89 Points,balanced ,236,5%
California Chardonnay - 85-89 Points,butterscotch ,232,5%
California Chardonnay - 85-89 Points,fruity ,231,5%
California Chardonnay - 85-89 Points,apricot ,230,5%
California Chardonnay - 85-89 Points,honey ,229,5%
California Chardonnay - 85-89 Points,minerality ,225,5%
California Chardonnay - 85-89 Points,pears ,224,5%
California Chardonnay - 85-89 Points,new ,214,5%
California Chardonnay - 85-89 Points,cream ,214,5%
California Chardonnay - 85-89 Points,richness ,212,5%
California Chardonnay - 85-89 Points,pretty ,207,5%
California Chardonnay - 85-89 Points,fresh ,201,5%
California Chardonnay - 85-89 Points,buttery ,200,5%
California Chardonnay - 85-89 Points,brisk ,198,5%
,,,
California Chardonnay - 90-94 Points,oak ,1611,42%
California Chardonnay - 90-94 Points,apple ,1174,31%
California Chardonnay - 90-94 Points,lemon ,1048,27%
California Chardonnay - 90-94 Points,rich ,945,25%
California Chardonnay - 90-94 Points,pear ,882,23%
California Chardonnay - 90-94 Points,vanilla ,775,20%
California Chardonnay - 90-94 Points,ripe ,747,19%
California Chardonnay - 90-94 Points,pineapple ,682,18%
California Chardonnay - 90-94 Points,crisp ,643,17%
California Chardonnay - 90-94 Points,tropical ,603,16%
California Chardonnay - 90-94 Points,lime ,588,15%
California Chardonnay - 90-94 Points,peach ,557,15%
California Chardonnay - 90-94 Points,toast ,548,14%
California Chardonnay - 90-94 Points,creamy ,537,14%
California Chardonnay - 90-94 Points,minerality ,498,13%
California Chardonnay - 90-94 Points,green ,480,13%
California Chardonnay - 90-94 Points,dry ,446,12%
California Chardonnay - 90-94 Points,balanced ,444,12%
California Chardonnay - 90-94 Points,complex ,443,12%
California Chardonnay - 90-94 Points,buttered ,437,11%
California Chardonnay - 90-94 Points,citrus ,408,11%
California Chardonnay - 90-94 Points,bright ,402,10%
California Chardonnay - 90-94 Points,richness ,321,8%
California Chardonnay - 90-94 Points,fresh ,313,8%
California Chardonnay - 90-94 Points,orange ,305,8%
California Chardonnay - 90-94 Points,good ,300,8%
California Chardonnay - 90-94 Points,balance ,298,8%
California Chardonnay - 90-94 Points,honey ,291,8%
California Chardonnay - 90-94 Points,long ,289,8%
California Chardonnay - 90-94 Points,new ,288,8%
California Chardonnay - 90-94 Points,smoky ,287,7%
California Chardonnay - 90-94 Points,spice ,283,7%
California Chardonnay - 90-94 Points,caramel ,279,7%
California Chardonnay - 90-94 Points,butter ,278,7%
California Chardonnay - 90-94 Points,meyer ,276,7%
California Chardonnay - 90-94 Points,elegant ,275,7%
California Chardonnay - 90-94 Points,apples ,273,7%
California Chardonnay - 90-94 Points,sweet ,271,7%
California Chardonnay - 90-94 Points,spicy ,255,7%
California Chardonnay - 90-94 Points,tart ,249,6%
California Chardonnay - 90-94 Points,great ,244,6%
California Chardonnay - 90-94 Points,light ,240,6%
California Chardonnay - 90-94 Points,clean ,234,6%
California Chardonnay - 90-94 Points,delicious ,231,6%
California Chardonnay - 90-94 Points,mango ,216,6%
California Chardonnay - 90-94 Points,oaky ,213,6%
California Chardonnay - 90-94 Points,cream ,210,5%
California Chardonnay - 90-94 Points,brûlée ,208,5%
California Chardonnay - 90-94 Points,lush ,206,5%
California Chardonnay - 90-94 Points,pineapples ,206,5%
,,,
California Chardonnay - 95-100 Points,lemon ,78,36%
California Chardonnay - 95-100 Points,oak ,77,36%
California Chardonnay - 95-100 Points,apple ,56,26%
California Chardonnay - 95-100 Points,pear ,54,25%
California Chardonnay - 95-100 Points,rich ,54,25%
California Chardonnay - 95-100 Points,toast ,47,22%
California Chardonnay - 95-100 Points,minerality ,43,20%
California Chardonnay - 95-100 Points,complex ,42,20%
California Chardonnay - 95-100 Points,buttered ,38,18%
California Chardonnay - 95-100 Points,balanced ,37,17%
California Chardonnay - 95-100 Points,lime ,37,17%
California Chardonnay - 95-100 Points,pineapple ,37,17%
California Chardonnay - 95-100 Points,tropical ,37,17%
California Chardonnay - 95-100 Points,honey ,35,16%
California Chardonnay - 95-100 Points,vanilla ,32,15%
California Chardonnay - 95-100 Points,richness ,29,13%
California Chardonnay - 95-100 Points,crisp ,29,13%
California Chardonnay - 95-100 Points,dry ,29,13%
California Chardonnay - 95-100 Points,crème ,27,13%
California Chardonnay - 95-100 Points,bright ,26,12%
California Chardonnay - 95-100 Points,peach ,26,12%
California Chardonnay - 95-100 Points,brûlée ,25,12%
California Chardonnay - 95-100 Points,ripe ,24,11%
California Chardonnay - 95-100 Points,fresh ,23,11%
California Chardonnay - 95-100 Points,great ,23,11%
California Chardonnay - 95-100 Points,new ,23,11%
California Chardonnay - 95-100 Points,pie ,23,11%
California Chardonnay - 95-100 Points,meyer ,22,10%
California Chardonnay - 95-100 Points,smoky ,22,10%
California Chardonnay - 95-100 Points,balance ,21,10%
California Chardonnay - 95-100 Points,cinnamon ,20,9%
California Chardonnay - 95-100 Points,sea ,20,9%
California Chardonnay - 95-100 Points,exotic ,20,9%
California Chardonnay - 95-100 Points,sweet ,20,9%
California Chardonnay - 95-100 Points,tart ,19,9%
California Chardonnay - 95-100 Points,green ,19,9%
California Chardonnay - 95-100 Points,chardonnays ,19,9%
California Chardonnay - 95-100 Points,spice ,19,9%
California Chardonnay - 95-100 Points,salt ,18,8%
California Chardonnay - 95-100 Points,salty ,18,8%
California Chardonnay - 95-100 Points,orange ,18,8%
California Chardonnay - 95-100 Points,golden ,18,8%
California Chardonnay - 95-100 Points,stone ,17,8%
California Chardonnay - 95-100 Points,citrus ,17,8%
California Chardonnay - 95-100 Points,minerals ,17,8%
California Chardonnay - 95-100 Points,pineapples ,17,8%
California Chardonnay - 95-100 Points,butterscotch ,17,8%
California Chardonnay - 95-100 Points,layers ,16,7%
California Chardonnay - 95-100 Points,clean ,16,7%
California Chardonnay - 95-100 Points,nutmeg ,16,7%
,,,
Califonia Cabernet - All,oak ,5271,33%
Califonia Cabernet - All,black ,5205,32%
Califonia Cabernet - All,cherry ,4815,30%
Califonia Cabernet - All,blackberry ,4473,28%
Califonia Cabernet - All,dry ,3858,24%
Califonia Cabernet - All,rich ,3355,21%
Califonia Cabernet - All,soft ,3269,20%
Califonia Cabernet - All,ripe ,3170,20%
Califonia Cabernet - All,currant ,2642,16%
Califonia Cabernet - All,chocolate ,2628,16%
Califonia Cabernet - All,sweet ,2321,14%
Califonia Cabernet - All,good ,2250,14%
Califonia Cabernet - All,cassis ,2224,14%
Califonia Cabernet - All,tannic ,2054,13%
Califonia Cabernet - All,blackberries ,2028,13%
Califonia Cabernet - All,cedar ,1839,11%
Califonia Cabernet - All,cherries ,1807,11%
Califonia Cabernet - All,dark ,1690,10%
Califonia Cabernet - All,currants ,1565,10%
Califonia Cabernet - All,smoky ,1416,9%
Califonia Cabernet - All,structure ,1375,8%
Califonia Cabernet - All,plum ,1351,8%
Califonia Cabernet - All,complex ,1261,8%
Califonia Cabernet - All,firm ,1238,8%
Califonia Cabernet - All,smooth ,1164,7%
Califonia Cabernet - All,herb ,1104,7%
Califonia Cabernet - All,tobacco ,1085,7%
Califonia Cabernet - All,new ,1029,6%
Califonia Cabernet - All,vanilla ,1013,6%
Califonia Cabernet - All,dried ,1005,6%
Califonia Cabernet - All,full-bodied ,983,6%
Califonia Cabernet - All,spice ,962,6%
Califonia Cabernet - All,balanced ,954,6%
Califonia Cabernet - All,pepper ,952,6%
Califonia Cabernet - All,cellar ,899,6%
Califonia Cabernet - All,long ,851,5%
Califonia Cabernet - All,spicy ,850,5%
Califonia Cabernet - All,tannin ,842,5%
Califonia Cabernet - All,elegant ,840,5%
Califonia Cabernet - All,delicious ,834,5%
Califonia Cabernet - All,mocha ,832,5%
Califonia Cabernet - All,balance ,805,5%
Califonia Cabernet - All,juicy ,800,5%
Califonia Cabernet - All,big ,790,5%
Califonia Cabernet - All,young ,785,5%
Califonia Cabernet - All,licorice ,773,5%
Califonia Cabernet - All,nice ,767,5%
Califonia Cabernet - All,herbs ,738,5%
Califonia Cabernet - All,concentrated ,727,4%
Califonia Cabernet - All,fruity ,721,4%
,,,
California Cabernet - 80-84 Points,dry ,643,30%
California Cabernet - 80-84 Points,cherry ,583,27%
California Cabernet - 80-84 Points,blackberry ,490,23%
California Cabernet - 80-84 Points,soft ,443,21%
California Cabernet - 80-84 Points,sweet ,417,19%
California Cabernet - 80-84 Points,oak ,394,18%
California Cabernet - 80-84 Points,simple ,304,14%
California Cabernet - 80-84 Points,ripe ,264,12%
California Cabernet - 80-84 Points,tannic ,254,12%
California Cabernet - 80-84 Points,cherries ,244,11%
California Cabernet - 80-84 Points,good ,226,11%
California Cabernet - 80-84 Points,green ,213,10%
California Cabernet - 80-84 Points,blackberries ,193,9%
California Cabernet - 80-84 Points,black ,176,8%
California Cabernet - 80-84 Points,rustic ,176,8%
California Cabernet - 80-84 Points,sharp ,163,8%
California Cabernet - 80-84 Points,chocolate ,160,7%
California Cabernet - 80-84 Points,currant ,149,7%
California Cabernet - 80-84 Points,thin ,145,7%
California Cabernet - 80-84 Points,berry ,141,7%
California Cabernet - 80-84 Points,hot ,136,6%
California Cabernet - 80-84 Points,pretty ,125,6%
California Cabernet - 80-84 Points,harsh ,119,6%
California Cabernet - 80-84 Points,everyday ,119,6%
California Cabernet - 80-84 Points,rich ,118,5%
California Cabernet - 80-84 Points,fruity ,106,5%
California Cabernet - 80-84 Points,jammy ,106,5%
California Cabernet - 80-84 Points,overripe ,99,5%
California Cabernet - 80-84 Points,earthy ,99,5%
California Cabernet - 80-84 Points,acids ,97,5%
California Cabernet - 80-84 Points,astringent ,96,4%
California Cabernet - 80-84 Points,herbal ,93,4%
California Cabernet - 80-84 Points,vegetal ,92,4%
California Cabernet - 80-84 Points,rough ,85,4%
California Cabernet - 80-84 Points,currants ,84,4%
California Cabernet - 80-84 Points,jam ,82,4%
California Cabernet - 80-84 Points,structure ,81,4%
California Cabernet - 80-84 Points,smoky ,81,4%
California Cabernet - 80-84 Points,herb ,80,4%
California Cabernet - 80-84 Points,modest ,79,4%
California Cabernet - 80-84 Points,raisiny ,78,4%
California Cabernet - 80-84 Points,sugary ,77,4%
California Cabernet - 80-84 Points,raspberry ,77,4%
California Cabernet - 80-84 Points,nice ,75,3%
California Cabernet - 80-84 Points,cassis ,75,3%
California Cabernet - 80-84 Points,raisins ,74,3%
California Cabernet - 80-84 Points,bitter ,72,3%
California Cabernet - 80-84 Points,coffee ,69,3%
California Cabernet - 80-84 Points,minty ,67,3%
California Cabernet - 80-84 Points,decent ,67,3%
,,,
California Cabernet - 85-89 Points,oak ,2174,32%
California Cabernet - 85-89 Points,cherry ,2122,31%
California Cabernet - 85-89 Points,blackberry ,1959,29%
California Cabernet - 85-89 Points,black ,1892,28%
California Cabernet - 85-89 Points,dry ,1856,27%
California Cabernet - 85-89 Points,soft ,1482,22%
California Cabernet - 85-89 Points,ripe ,1369,20%
California Cabernet - 85-89 Points,rich ,1299,19%
California Cabernet - 85-89 Points,good ,1191,18%
California Cabernet - 85-89 Points,currant ,1044,15%
California Cabernet - 85-89 Points,sweet ,925,14%
California Cabernet - 85-89 Points,chocolate ,908,13%
California Cabernet - 85-89 Points,tannic ,880,13%
California Cabernet - 85-89 Points,cherries ,852,13%
California Cabernet - 85-89 Points,blackberries ,829,12%
California Cabernet - 85-89 Points,cedar ,689,10%
California Cabernet - 85-89 Points,cassis ,659,10%
California Cabernet - 85-89 Points,smoky ,633,9%
California Cabernet - 85-89 Points,currants ,594,9%
California Cabernet - 85-89 Points,plum ,587,9%
California Cabernet - 85-89 Points,dark ,584,9%
California Cabernet - 85-89 Points,smooth ,527,8%
California Cabernet - 85-89 Points,nice ,508,7%
California Cabernet - 85-89 Points,herb ,482,7%
California Cabernet - 85-89 Points,tobacco ,476,7%
California Cabernet - 85-89 Points,structure ,458,7%
California Cabernet - 85-89 Points,dried ,433,6%
California Cabernet - 85-89 Points,spice ,432,6%
California Cabernet - 85-89 Points,vanilla ,427,6%
California Cabernet - 85-89 Points,full-bodied ,418,6%
California Cabernet - 85-89 Points,firm ,413,6%
California Cabernet - 85-89 Points,fruity ,406,6%
California Cabernet - 85-89 Points,pepper ,383,6%
California Cabernet - 85-89 Points,spicy ,360,5%
California Cabernet - 85-89 Points,herbs ,351,5%
California Cabernet - 85-89 Points,juicy ,349,5%
California Cabernet - 85-89 Points,pretty ,344,5%
California Cabernet - 85-89 Points,easy ,339,5%
California Cabernet - 85-89 Points,mocha ,337,5%
California Cabernet - 85-89 Points,balanced ,334,5%
California Cabernet - 85-89 Points,jam ,333,5%
California Cabernet - 85-89 Points,complex ,319,5%
California Cabernet - 85-89 Points,berry ,311,5%
California Cabernet - 85-89 Points,herbal ,309,5%
California Cabernet - 85-89 Points,licorice ,302,4%
California Cabernet - 85-89 Points,big ,289,4%
California Cabernet - 85-89 Points,jammy ,282,4%
California Cabernet - 85-89 Points,tannin ,280,4%
California Cabernet - 85-89 Points,complexity ,269,4%
California Cabernet - 85-89 Points,elegant ,269,4%
,,,
California Cabernet - 90-94 Points,black ,2824,42%
California Cabernet - 90-94 Points,oak ,2435,37%
California Cabernet - 90-94 Points,cherry ,1965,30%
California Cabernet - 90-94 Points,blackberry ,1853,28%
California Cabernet - 90-94 Points,rich ,1777,27%
California Cabernet - 90-94 Points,ripe ,1420,21%
California Cabernet - 90-94 Points,chocolate ,1365,21%
California Cabernet - 90-94 Points,currant ,1329,20%
California Cabernet - 90-94 Points,cassis ,1315,20%
California Cabernet - 90-94 Points,dry ,1255,19%
California Cabernet - 90-94 Points,soft ,1237,19%
California Cabernet - 90-94 Points,cedar ,978,15%
California Cabernet - 90-94 Points,dark ,953,14%
California Cabernet - 90-94 Points,blackberries ,876,13%
California Cabernet - 90-94 Points,sweet ,868,13%
California Cabernet - 90-94 Points,tannic ,840,13%
California Cabernet - 90-94 Points,complex ,815,12%
California Cabernet - 90-94 Points,good ,773,12%
California Cabernet - 90-94 Points,currants ,768,12%
California Cabernet - 90-94 Points,structure ,727,11%
California Cabernet - 90-94 Points,firm ,702,11%
California Cabernet - 90-94 Points,plum ,646,10%
California Cabernet - 90-94 Points,cherries ,639,10%
California Cabernet - 90-94 Points,smoky ,618,9%
California Cabernet - 90-94 Points,new ,611,9%
California Cabernet - 90-94 Points,cellar ,608,9%
California Cabernet - 90-94 Points,balanced ,534,8%
California Cabernet - 90-94 Points,long ,532,8%
California Cabernet - 90-94 Points,delicious ,526,8%
California Cabernet - 90-94 Points,smooth ,523,8%
California Cabernet - 90-94 Points,elegant ,521,8%
California Cabernet - 90-94 Points,herb ,508,8%
California Cabernet - 90-94 Points,tobacco ,508,8%
California Cabernet - 90-94 Points,dried ,498,7%
California Cabernet - 90-94 Points,tannin ,491,7%
California Cabernet - 90-94 Points,vanilla ,485,7%
California Cabernet - 90-94 Points,full-bodied ,481,7%
California Cabernet - 90-94 Points,balance ,477,7%
California Cabernet - 90-94 Points,young ,477,7%
California Cabernet - 90-94 Points,mountain ,470,7%
California Cabernet - 90-94 Points,pepper ,462,7%
California Cabernet - 90-94 Points,concentrated ,451,7%
California Cabernet - 90-94 Points,lush ,443,7%
California Cabernet - 90-94 Points,big ,442,7%
California Cabernet - 90-94 Points,clove ,431,6%
California Cabernet - 90-94 Points,spice ,430,6%
California Cabernet - 90-94 Points,classic ,424,6%
California Cabernet - 90-94 Points,great ,415,6%
California Cabernet - 90-94 Points,mocha ,411,6%
California Cabernet - 90-94 Points,spicy ,409,6%
,,,
California Cabernet - 95-100 Points,black ,313,52%
California Cabernet - 95-100 Points,oak ,268,44%
California Cabernet - 95-100 Points,chocolate ,195,32%
California Cabernet - 95-100 Points,cassis ,175,29%
California Cabernet - 95-100 Points,blackberry ,171,28%
California Cabernet - 95-100 Points,rich ,161,27%
California Cabernet - 95-100 Points,cherry ,145,24%
California Cabernet - 95-100 Points,blackberries ,130,22%
California Cabernet - 95-100 Points,currant ,120,20%
California Cabernet - 95-100 Points,currants ,119,20%
California Cabernet - 95-100 Points,complex ,118,20%
California Cabernet - 95-100 Points,ripe ,117,19%
California Cabernet - 95-100 Points,dark ,115,19%
California Cabernet - 95-100 Points,sweet ,111,18%
California Cabernet - 95-100 Points,cedar ,110,18%
California Cabernet - 95-100 Points,structure ,109,18%
California Cabernet - 95-100 Points,new ,109,18%
California Cabernet - 95-100 Points,soft ,107,18%
California Cabernet - 95-100 Points,dry ,104,17%
California Cabernet - 95-100 Points,cellar ,90,15%
California Cabernet - 95-100 Points,smoky ,84,14%
California Cabernet - 95-100 Points,firm ,82,14%
California Cabernet - 95-100 Points,great ,81,13%
California Cabernet - 95-100 Points,tannic ,80,13%
California Cabernet - 95-100 Points,power ,79,13%
California Cabernet - 95-100 Points,delicious ,73,12%
California Cabernet - 95-100 Points,cherries ,72,12%
California Cabernet - 95-100 Points,beautiful ,67,11%
California Cabernet - 95-100 Points,long ,67,11%
California Cabernet - 95-100 Points,mountain ,65,11%
California Cabernet - 95-100 Points,classic ,63,10%
California Cabernet - 95-100 Points,balanced ,61,10%
California Cabernet - 95-100 Points,concentrated ,60,10%
California Cabernet - 95-100 Points,good ,60,10%
California Cabernet - 95-100 Points,plum ,59,10%
California Cabernet - 95-100 Points,balance ,56,9%
California Cabernet - 95-100 Points,smooth ,54,9%
California Cabernet - 95-100 Points,spice ,53,9%
California Cabernet - 95-100 Points,pepper ,51,8%
California Cabernet - 95-100 Points,refined ,49,8%
California Cabernet - 95-100 Points,decade ,48,8%
California Cabernet - 95-100 Points,licorice ,48,8%
California Cabernet - 95-100 Points,tannin ,47,8%
California Cabernet - 95-100 Points,complexity ,47,8%
California Cabernet - 95-100 Points,elegant ,45,7%
California Cabernet - 95-100 Points,spicy ,43,7%
California Cabernet - 95-100 Points,lush ,43,7%
California Cabernet - 95-100 Points,richness ,42,7%
California Cabernet - 95-100 Points,gorgeous ,42,7%
California Cabernet - 95-100 Points,powerful ,42,7%
,,,
French Chardonnay - All,ripe ,1522,44%
French Chardonnay - All,rich ,973,28%
French Chardonnay - All,crisp ,886,25%
French Chardonnay - All,citrus ,694,20%
French Chardonnay - All,apple ,683,20%
French Chardonnay - All,mineral ,598,17%
French Chardonnay - All,full ,594,17%
French Chardonnay - All,soft ,575,17%
French Chardonnay - All,fresh ,564,16%
French Chardonnay - All,spice ,495,14%
French Chardonnay - All,toast ,479,14%
French Chardonnay - All,ready ,470,14%
French Chardonnay - All,fruity ,462,13%
French Chardonnay - All,green ,426,12%
French Chardonnay - All,tight ,423,12%
French Chardonnay - All,pear ,415,12%
French Chardonnay - All,light ,409,12%
French Chardonnay - All,minerality ,393,11%
French Chardonnay - All,attractive ,369,11%
French Chardonnay - All,structure ,361,10%
French Chardonnay - All,richness ,346,10%
French Chardonnay - All,bright ,328,9%
French Chardonnay - All,rounded ,320,9%
French Chardonnay - All,great ,310,9%
French Chardonnay - All,creamy ,308,9%
French Chardonnay - All,balanced ,299,9%
French Chardonnay - All,peach ,285,8%
French Chardonnay - All,generous ,285,8%
French Chardonnay - All,good ,283,8%
French Chardonnay - All,delicious ,283,8%
French Chardonnay - All,textured ,266,8%
French Chardonnay - All,lemon ,265,8%
French Chardonnay - All,smooth ,257,7%
French Chardonnay - All,apricot ,236,7%
French Chardonnay - All,young ,230,7%
French Chardonnay - All,steely ,226,7%
French Chardonnay - All,intense ,220,6%
French Chardonnay - All,warm ,219,6%
French Chardonnay - All,structured ,217,6%
French Chardonnay - All,vanilla ,201,6%
French Chardonnay - All,freshness ,199,6%
French Chardonnay - All,fruitiness ,198,6%
French Chardonnay - All,tangy ,197,6%
French Chardonnay - All,toasty ,189,5%
French Chardonnay - All,weight ,186,5%
French Chardonnay - All,lively ,184,5%
French Chardonnay - All,balance ,182,5%
French Chardonnay - All,concentrated ,167,5%
French Chardonnay - All,apples ,163,5%
French Chardonnay - All,round ,154,4%
,,,
French Chardonnay - 80-84 Points,soft ,103,38%
French Chardonnay - 80-84 Points,light ,78,29%
French Chardonnay - 80-84 Points,apple ,69,26%
French Chardonnay - 80-84 Points,citrus ,48,18%
French Chardonnay - 80-84 Points,fruity ,44,16%
French Chardonnay - 80-84 Points,green ,42,16%
French Chardonnay - 80-84 Points,fresh ,41,15%
French Chardonnay - 80-84 Points,ripe ,39,14%
French Chardonnay - 80-84 Points,crisp ,38,14%
French Chardonnay - 80-84 Points,pear ,35,13%
French Chardonnay - 80-84 Points,attractive ,34,13%
French Chardonnay - 80-84 Points,simple ,32,12%
French Chardonnay - 80-84 Points,ready ,30,11%
French Chardonnay - 80-84 Points,lemon ,26,10%
French Chardonnay - 80-84 Points,spice ,22,8%
French Chardonnay - 80-84 Points,clean ,19,7%
French Chardonnay - 80-84 Points,round ,18,7%
French Chardonnay - 80-84 Points,bright ,17,6%
French Chardonnay - 80-84 Points,melon ,16,6%
French Chardonnay - 80-84 Points,vanilla ,16,6%
French Chardonnay - 80-84 Points,creamy ,16,6%
French Chardonnay - 80-84 Points,rounded ,16,6%
French Chardonnay - 80-84 Points,peach ,15,6%
French Chardonnay - 80-84 Points,weight ,15,6%
French Chardonnay - 80-84 Points,sweet ,13,5%
French Chardonnay - 80-84 Points,easy ,13,5%
French Chardonnay - 80-84 Points,gentle ,13,5%
French Chardonnay - 80-84 Points,toast ,12,4%
French Chardonnay - 80-84 Points,short ,11,4%
French Chardonnay - 80-84 Points,pleasant ,11,4%
